OBJECTID,Zip9,NewPOD,NewMTS,ChangeDate,Description,Zip9_1,Zip5,RecType,Name
62,847161374,9002,9002,1/1/2006 0:28:31,Boulder,847161374,84716,P,PO BOX
63,847161375,9002,9002,1/1/2006 0:28:31,Boulder,847161375,84716,P,PO BOX
64,847161376,9002,9002,1/1/2006 0:28:31,Boulder,847161376,84716,P,PO BOX
65,847161377,9002,9002,1/1/2006 0:28:31,Boulder,847161377,84716,P,PO BOX
66,847161378,9002,9002,1/1/2006 0:28:31,Boulder,847161378,84716,P,PO BOX
67,847161379,9002,9002,1/1/2006 0:28:31,Boulder,847161379,84716,P,PO BOX
68,847161380,9002,9002,1/1/2006 0:28:31,Boulder,847161380,84716,P,PO BOX
69,847161381,9002,9002,1/1/2006 0:28:31,Boulder,847161381,84716,P,PO BOX
70,847161382,9002,9002,1/1/2006 0:28:31,Boulder,847161382,84716,P,PO BOX
71,847161383,9002,9002,1/1/2006 0:28:31,Boulder,847161383,84716,P,PO BOX
72,847161384,9002,9002,1/1/2006 0:28:31,Boulder,847161384,84716,P,PO BOX
73,847161385,9002,9002,1/1/2006 0:28:31,Boulder,847161385,84716,P,PO BOX
74,847161386,9002,9002,1/1/2006 0:28:31,Boulder,847161386,84716,P,PO BOX
75,847161387,9002,9002,1/1/2006 0:28:31,Boulder,847161387,84716,P,PO BOX
76,847161388,9002,9002,1/1/2006 0:28:31,Boulder,847161388,84716,P,PO BOX
77,847161389,9002,9002,1/1/2006 0:28:31,Boulder,847161389,84716,P,PO BOX
78,847161390,9002,9002,1/1/2006 0:28:31,Boulder,847161390,84716,P,PO BOX
79,847161391,9002,9002,1/1/2006 0:28:31,Boulder,847161391,84716,P,PO BOX
80,847161392,9002,9002,1/1/2006 0:28:31,Boulder,847161392,84716,P,PO BOX
81,847161393,9002,9002,1/1/2006 0:28:31,Boulder,847161393,84716,P,PO BOX
82,847161394,9002,9002,1/1/2006 0:28:31,Boulder,847161394,84716,P,PO BOX
83,847161395,9002,9002,1/1/2006 0:28:31,Boulder,847161395,84716,P,PO BOX
84,847161396,9002,9002,1/1/2006 0:28:31,Boulder,847161396,84716,P,PO BOX
85,847161397,9002,9002,1/1/2006 0:28:31,Boulder,847161397,84716,P,PO BOX
86,847161398,9002,9002,1/1/2006 0:28:31,Boulder,847161398,84716,P,PO BOX
87,847161399,9002,9002,1/1/2006 0:28:31,Boulder,847161399,84716,P,PO BOX
88,847161400,9002,9002,1/1/2006 0:28:31,Boulder,847161400,84716,P,PO BOX
89,847161401,9002,9002,1/1/2006 0:28:31,Boulder,847161401,84716,P,PO BOX
90,847161402,9002,9002,1/1/2006 0:28:31,Boulder,847161402,84716,P,PO BOX
91,847161403,9002,9002,1/1/2006 0:28:31,Boulder,847161403,84716,P,PO BOX
92,847161404,9002,9002,1/1/2006 0:28:31,Boulder,847161404,84716,P,PO BOX
93,847161405,9002,9002,1/1/2006 0:28:31,Boulder,847161405,84716,P,PO BOX
94,847161406,9002,9002,1/1/2006 0:28:31,Boulder,847161406,84716,P,PO BOX
95,847161407,9002,9002,1/1/2006 0:28:31,Boulder,847161407,84716,P,PO BOX
96,847161408,9002,9002,1/1/2006 0:28:31,Boulder,847161408,84716,P,PO BOX
97,847161409,9002,9002,1/1/2006 0:28:31,Boulder,847161409,84716,P,PO BOX
98,847161410,9002,9002,1/1/2006 0:28:31,Boulder,847161410,84716,P,PO BOX
99,847161411,9002,9002,1/1/2006 0:28:31,Boulder,847161411,84716,P,PO BOX
100,847161412,9002,9002,1/1/2006 0:28:31,Boulder,847161412,84716,P,PO BOX
101,847161413,9002,9002,1/1/2006 0:28:31,Boulder,847161413,84716,P,PO BOX
102,847161414,9002,9002,1/1/2006 0:28:31,Boulder,847161414,84716,P,PO BOX
103,847161415,9002,9002,1/1/2006 0:28:31,Boulder,847161415,84716,P,PO BOX
104,847161416,9002,9002,1/1/2006 0:28:31,Boulder,847161416,84716,P,PO BOX
105,847161417,9002,9002,1/1/2006 0:28:31,Boulder,847161417,84716,P,PO BOX
106,847161418,9002,9002,1/1/2006 0:28:31,Boulder,847161418,84716,P,PO BOX
107,847161419,9002,9002,1/1/2006 0:28:31,Boulder,847161419,84716,P,PO BOX
108,847161420,9002,9002,1/1/2006 0:28:31,Boulder,847161420,84716,P,PO BOX
109,847161421,9002,9002,1/1/2006 0:28:31,Boulder,847161421,84716,P,PO BOX
110,847161422,9002,9002,1/1/2006 0:28:31,Boulder,847161422,84716,P,PO BOX
111,847161423,9002,9002,1/1/2006 0:28:31,Boulder,847161423,84716,P,PO BOX
112,847161424,9002,9002,1/1/2006 0:28:31,Boulder,847161424,84716,P,PO BOX
113,847161425,9002,9002,1/1/2006 0:28:31,Boulder,847161425,84716,P,PO BOX
114,847161426,9002,9002,1/1/2006 0:28:31,Boulder,847161426,84716,P,PO BOX
